실험,브랜치,결과,prior_mode,lam_gamma,b_bound,b_min,b_max,run_tag,mse_ls,mse_lq,auc_ls,auc_lq,auc_prior_ls,auc_prior_lq,auc_zprior_ls,auc_zprior_lq,auc_zprior_ls_wavg,auc_zprior_lq_wavg,gain_ls,gain_lq,gain_ls_wavg,gain_lq_wavg,auc_ls_wavg,auc_lq_wavg,auc_prior_ls_wavg,auc_prior_lq_wavg,auc_ls_niigata2004,auc_prior_ls_niigata2004,n_ls,n_lq,n,a_LS,b_LS,a_LQ,b_LQ,gamma_ls_max,gamma_lq_max,sum_gamma2,frac_middle,c_LS,c_LQ
D free,followup3-area-avg-free,followup3-area-avg-free,area-free,10.0,,,,,0.25265216745466,0.2411452087850049,0.7366666666666667,0.8267584097859327,0.7485714285714286,0.7485474006116207,0.749047619047619,0.8191131498470948,0.7968643805993205,0.7784457535241298,-0.0123809523809522,0.0076452599388379,-0.0258418288538772,0.0029499615536836,0.7710225517454433,0.7813957150778135,0.7968643805993205,0.715445570663787,0.75,0.875,125,229,278,1.8616153745419104,11.492543883093449,0.5038246365008456,0.9129131690871476,0.8885072380594888,0.911062891652634,5.445911483139913,0.4389952153110047,0.0062676832952768,0.7820254320263271
D free,followup3-area-avg-free,followup3-area-avg-free,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,125,229,278,,,,,,,,,,
D free,followup3-area-avg-free,followup3-area-avg-free,[베이스라인] 전부 기저확률,,,,,,0.1344,0.2494231612669476,,,,,,,,,,,,,,,,,,,125,229,278,,,,,,,,,,
E c 작게,followup3-area-avg-a1-c05,followup3-area-avg-a1-c05,area-a1-c05,0.0,,,,,0.4085929886555523,0.2081440210713392,0.7828571428571427,0.8573394495412845,0.7485714285714286,0.7485474006116207,0.819047619047619,0.7978593272171254,0.8162676346411286,0.7570032442862361,-0.0361904761904763,0.0594801223241591,-0.0135336216661517,0.0277922593891335,0.8027340129749768,0.7847955036753697,0.7968643805993205,0.715445570663787,1.0,0.875,125,229,278,1.0,0.0,1.0,0.0,3.287162035389197,4.849430993873585,83.48180358048626,0.1255980861244019,0.5,0.5
E c 작게,followup3-area-avg-a1-c05,followup3-area-avg-a1-c05,area-a1-c05,0.1,,,,,0.4097368324213401,0.2085055259384154,0.7866666666666666,0.856422018348624,0.7485714285714286,0.7485474006116207,0.819047619047619,0.7978593272171254,0.8162676346411286,0.7570032442862361,-0.0323809523809524,0.0585626911314985,-0.0005483472350941,0.0268102277805035,0.8157192874060345,0.7838134720667397,0.7968643805993205,0.715445570663787,1.0,0.875,125,229,278,1.0,0.0,1.0,0.0,3.1798847038128844,4.651897326785646,78.36602906182944,0.1267942583732057,0.5,0.5
E c 작게,followup3-area-avg-a1-c05,followup3-area-avg-a1-c05,area-a1-c05,1.0,,,,,0.4055063705491226,0.2130488579150639,0.7938095238095239,0.8484709480122324,0.7485714285714286,0.7485474006116207,0.819047619047619,0.7978593272171254,0.8162676346411286,0.7570032442862361,-0.0252380952380951,0.050611620795107,0.0054139635464935,0.0283167736047623,0.8216815981876222,0.7853200178909985,0.7968643805993205,0.715445570663787,1.0,0.875,125,229,278,1.0,0.0,1.0,0.0,2.362650329290537,3.810620843908075,52.22429598109516,0.1351674641148325,0.5,0.5
E c 작게,followup3-area-avg-a1-c05,followup3-area-avg-a1-c05,area-a1-c05,10.0,,,,,0.4191938525760641,0.1932071299132106,0.7857142857142857,0.8129969418960244,0.7485714285714286,0.7485474006116207,0.819047619047619,0.7978593272171254,0.8162676346411286,0.7570032442862361,-0.0333333333333333,0.015137614678899,-0.0247991967871484,0.0343544061471624,0.7914684378539801,0.7913576504333986,0.7968643805993205,0.715445570663787,0.75,0.875,125,229,278,1.0,0.0,1.0,0.0,0.8506263058632242,0.4796136139441262,3.434976818319204,0.4102870813397129,0.5,0.5
E c 작게,followup3-area-avg-a1-c05,followup3-area-avg-a1-c05,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,125,229,278,,,,,,,,,,
E c 작게,followup3-area-avg-a1-c05,followup3-area-avg-a1-c05,[베이스라인] 전부 기저확률,,,,,,0.1344,0.2494231612669476,,,,,,,,,,,,,,,,,,,125,229,278,,,,,,,,,,
F c 크게,followup3-area-avg-a1-c2,followup3-area-avg-a1-c2,area-a1-c2,0.0,,,,,0.1444072671758921,0.4896129012970135,0.8304761904761905,0.8087155963302752,0.7485714285714286,0.7485474006116207,0.8295238095238096,0.8079510703363915,0.8679358459478941,0.7686894582468381,0.0009523809523809,0.0007645259938837,-0.0021419009370815,-0.0005620977487985,0.8657939450108125,0.7681273604980395,0.7968643805993205,0.715445570663787,0.9375,0.875,125,229,278,1.0,0.0,1.0,0.0,0.0843397014941862,0.018311573917938,0.012563911922696,0.0406698564593301,2.0,2.0
